Time,Temp,6011 nw-2-1B,6010 nw-2-11,6009 nw-2-0F,6008 nw-2-0E,6007 nw-2-0D,6006 nw-2-09,6005 nw-2-08,6004 nw-2-07,6003 nw-2-05,6002 nw-2-02,6001 nw-2-01,f-6011 nw-2-1B,f-6010 nw-2-11,f-6009 nw-2-0F,f-6008 nw-2-0E,f-6007 nw-2-0D,f-6006 nw-2-09,f-6005 nw-2-08,f-6004 nw-2-07,f-6003 nw-2-05,f-6002 nw-2-02,f-6001 nw-2-01
0,24.5839,0,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,24.5473,0,0,0,0,0,3,1,0,2,10,0,0,1.88636,0,0.89242,0,0.57916,0,0.06037,0,1.98309,0
2,24.5168,0,2,0,0,0,1,3,0,0,3,3,0,0,0,0,0,3.38334,1.03282,0,0.20322,10.23305,0
3,24.4985,0,2,1,2,3,2,2,1,0,5,1,0,2.02154,0,0,0,0.50852,2.88051,0,0,2.68803,1.17213
4,24.4863,0,0,0,1,0,1,0,1,1,1,0,0,1.68949,0.97969,1.29887,2.63415,2.34556,1.96898,1.0576,0,4.76121,0.92554
5,24.4787,1,2,0,0,1,5,2,1,2,1,1,0,0,0,0.2484,0,0.18055,0,1.2962,1.09081,0.47195,0
6,24.4847,0,3,0,0,1,1,1,0,0,4,2,0.60134,0.84814,0,0,0.47828,4.55684,3.44501,0.55269,0.84106,1.06622,0.23369
7,24.4954,1,0,0,2,0,3,1,0,1,1,0,0,2.95608,0,0,0.85444,1.92025,0.18134,0,0,4.38369,1.86428
8,24.5,0,1,0,2,2,2,0,0,0,5,1,0.2502,0,0,1.69489,0,2.22627,0.15036,0,0.7308,2.11106,0
9,24.5289,0,1,0,0,1,1,1,0,0,4,1,0,0.4379,0,1.402,0.81994,1.67872,0,0,0,5.74035,0.36965
10,24.5534,1,0,0,1,3,1,2,0,0,3,2,0,0.97798,0,0,1.25668,1.20156,1.6037,0,0,3.20666,1.70317
11,24.5915,0,1,0,0,0,3,0,0,2,2,0,0.37743,0,0,0.06009,2.60106,1.36317,1.36482,0,0,2.62125,1.68167
12,24.6281,2,1,0,2,1,3,0,0,0,6,1,0,0.50666,0,0,0,3.61521,0,0,1.0258,2.12937,0
13,24.6525,0,2,0,0,0,3,0,0,0,0,1,0.89642,1.52909,0,1.7336,0.95854,3.4234,0,0,0,5.54853,1.001
14,24.6572,0,3,0,0,0,3,3,1,1,4,0,0,0.37863,0,0,0,3.50049,0,0,0,0,0.98484
15,24.6617,2,1,0,1,3,0,1,0,0,4,1,0,2.68185,0,0,0,2.30402,1.79718,0.33245,0.33386,4.86002,0
16,24.6633,0,1,0,1,0,0,0,0,0,3,0,1.86056,1.86211,0,0.23062,2.90055,0,0.7885,0,0,3.99539,0.76687
17,24.6572,0,1,1,2,0,3,3,0,2,3,0,0,0.08394,0,1.56387,0,0,0,0,0,2.86927,0
18,24.6601,2,1,0,3,0,4,1,0,1,5,0,0,0.51692,0.38552,1.12625,0,3.86974,3.31404,0,1.77967,3.59688,0
19,24.6133,0,2,0,2,0,2,0,0,1,5,0,1.24982,1.54047,0,3.11976,0,3.14327,0.66597,0,1.76939,4.22875,0
20,24.6068,0,2,0,1,4,5,1,0,3,4,0,0,0.66519,0,2.37116,0,2.35714,0,0,0.16306,5.08803,0
21,24.6463,1,2,1,1,1,2,4,0,3,3,0,0,0.90202,0,1.04857,5.32155,4.28121,1.22274,0,1.78404,4.11265,0
22,24.6556,0,1,0,1,0,0,2,0,0,4,1,0.84433,2.25306,0.94528,1.47487,0.94857,1.87316,4.62173,0,2.80065,3.78708,0
23,24.6646,1,1,0,2,4,3,1,0,1,2,0,0,0.66357,0,1.14913,0,0,0.42044,0,0,3.91931,0.68091
24,24.6859,0,0,0,0,1,2,1,0,0,1,2,0.35828,0.50363,0,1.31307,2.62095,2.03835,1.10271,0,0.34853,2.76179,0
25,24.7363,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,1.29105,2.08687,0.34348,0,0,1.31346,1.91966
26,24.7351,1,2,0,0,0,6,2,1,0,1,0,0,0,0,3.05971,0.80936,1.17959,0,0,0,1.05785,0
27,24.7261,3,0,0,1,0,4,1,0,1,4,0,1.87858,1.08094,0,0,0,8.97003,2.00603,0.47435,0,0.15604,0
28,24.7016,0,3,0,1,2,0,1,0,1,5,0,2.10684,0,0,0.52783,0,4.15915,1.53806,0,1.00406,5.11096,0
29,24.7326,1,4,0,2,1,2,3,1,2,6,1,0,0.39321,0,1.54405,0.25062,0,1.41044,0,0.60628,5.10732,0
30,24.768,0,0,0,0,1,2,1,0,0,3,0,0.68663,3.05456,0,1.56858,1.47306,2.33431,2.50755,0.5957,1.42456,7.09444,0.83489
31,24.7427,2,2,0,0,1,2,3,0,0,3,2,0,0,0,0,0.39871,1.31393,1.17498,0,0,2.36334,0
32,24.7454,0,4,0,0,2,2,1,0,0,4,0,1.0851,0.78336,0,0,1.18132,2.9754,2.62575,0,0,4.43227,0.88806
33,24.7334,0,0,0,2,0,3,3,0,1,3,0,0,3.44648,0,0,1.08457,2.089,1.54131,0,0,2.07263,0
34,24.7229,1,1,0,0,1,3,3,0,0,2,1,0,0,0,1.08116,0,2.95623,3.3356,0,0.67021,3.03031,0
35,24.7213,2,1,0,1,2,0,1,0,0,6,2,1.15626,0.43806,0,0,1.24966,2.66732,2.05962,0,0,3.20542,0.32676
36,24.7136,0,0,0,1,0,0,1,0,0,1,0,1.35853,0.84419,0,1.11085,1.4638,0,1.38319,0,0,4.25604,1.95178
37,24.7087,1,0,0,2,0,2,0,0,0,4,2,0,0,0,1.28007,0,0,0.40724,0,0,1.49375,0
38,24.7104,1,3,0,0,0,1,1,0,2,2,0,1.00152,0,0,0.97311,0,2.2504,0,0,0,3.46234,0.74316
39,24.7286,1,1,0,1,0,2,1,0,1,3,1,1.71693,3.55402,0,0,0,0.90255,1.14957,0,2.83698,2.20139,0
40,24.7224,1,1,0,0,0,1,2,0,2,3,2,0.09776,0.10072,0,0.53938,0,2.84133,1.59051,0,0.04321,3.70568,0.47482
41,24.7668,0,2,0,2,1,3,1,0,1,3,0,0.33258,0.21036,0,0,0,0.18072,1.846,0,0.9891,2.70494,1.17702
